,accuracy,time_this_iter_s,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,config/__trial_index__,config/augmentation,config/balanced_batch,config/batch_size,config/beta_loss,config/image_size,config/lr,config/optimizer,config/with_features,logdir
38,0.894000,52.106988,False,,,24,b80b5ea1b4784d70a6c442af7c2b320d,2022-05-10_03-01-31,1652166091,1251.197951,3871780,deepsleep,172.17.28.75,1251.197951,0,24,a180fbd0,2,rotation_v3,False,30,0.860430,63,0.000886,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_a180fbd0
39,0.890000,26.273813,False,,,28,05a0485633cf4ed7b91786d62256c730,2022-05-10_04-14-35,1652170475,741.633566,3895528,deepsleep,172.17.28.75,741.633566,0,28,17ffd938,0,rotation_v3,False,60,0.000443,27,0.000290,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_17ffd938
40,0.892000,26.629339,False,,,34,11f196bd8544450ea7979bb60c02c7ba,2022-05-10_04-48-49,1652172529,917.827662,3908884,deepsleep,172.17.28.75,917.827662,0,34,7cd5213c,1,rotation_v3,False,60,0.000443,27,0.000290,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_7cd5213c
41,0.884000,26.715517,False,,,43,083e354023364a4b94d861f87c89eb83,2022-05-10_05-04-59,1652173499,1161.420703,3915488,deepsleep,172.17.28.75,1161.420703,0,43,dbfaf1b0,2,rotation_v3,False,60,0.000443,27,0.000290,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_dbfaf1b0
42,0.886000,52.284425,False,,,15,76a1c13d2a32430482b87d9f0e7fd337,2022-05-10_05-33-15,1652175195,790.956257,3934501,deepsleep,172.17.28.75,790.956257,0,15,8d1bc1d0,0,rotation_v3,False,30,0.000454,63,0.000102,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_8d1bc1d0
43,0.904000,52.349890,False,,,19,5069fc8db84d4feeb7f63c9fa0bd49e9,2022-05-10_05-52-23,1652176343,992.018150,3941276,deepsleep,172.17.28.75,992.018150,0,19,5ca390fa,1,rotation_v3,False,30,0.000454,63,0.000102,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_5ca390fa
44,0.888000,51.499055,False,,,15,23a1d068beb3494ca81cb570e12ef15c,2022-05-10_06-46-31,1652179591,780.086067,3958235,deepsleep,172.17.28.75,780.086067,0,15,914b7ec4,2,rotation_v3,False,30,0.000454,63,0.000102,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_914b7ec4
45,0.888000,33.743100,False,,,31,aa7a8001390a4508aef10ee7d62e07c1,2022-05-10_07-10-15,1652181015,1049.740817,3963956,deepsleep,172.17.28.75,1049.740817,0,31,9f74f216,0,rotation_v3,False,45,0.026375,27,0.002675,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_9f74f216
46,0.884000,34.252899,False,,,22,bbe110dbcdba42fb858677412b9eef7d,2022-05-10_07-59-31,1652183971,755.228091,3983828,deepsleep,172.17.28.75,755.228091,0,22,4fb2efbe,1,rotation_v3,False,45,0.026375,27,0.002675,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_4fb2efbe
47,0.886000,34.215258,False,,,39,a6331643b61a4a99ba5be7ac5f16c5c0,2022-05-10_08-11-51,1652184711,1337.534593,3985029,deepsleep,172.17.28.75,1337.534593,0,39,e12824c6,2,rotation_v3,False,45,0.026375,27,0.002675,AdamW,False,/home/rvidal/hyperparameter_tuning/CE_Resnet/id_e12824c6
